schema_shift,workflow_shift,layer,mode,roc_auc_mean,balanced_accuracy_mean,brier_mean
0.0,0.0,raw_schema,mask_only,0.4919500423230998,0.48463638490653,0.2548935911688358
0.0,0.0,raw_schema,values_only,0.8839712584078129,0.7967622682014984,0.13830098842654895
0.0,0.0,raw_schema,values_plus_missingness,0.873796899550733,0.7854948680126205,0.14548444446924036
0.0,0.0,alias_collapsed,mask_only,0.4914031258401949,0.48524614100409097,0.254775544563763
0.0,0.0,alias_collapsed,values_only,0.8840337608450195,0.7961606116926689,0.13827444868970945
0.0,0.0,alias_collapsed,values_plus_missingness,0.8738437818760965,0.7854792405708327,0.14543197092525273
0.0,0.3,raw_schema,mask_only,0.8776176856247069,0.7926510978277855,0.14305430425521076
0.0,0.3,raw_schema,values_only,0.8632263879121738,0.7886516447882481,0.15086800544632492
0.0,0.3,raw_schema,values_plus_missingness,0.9447625678817003,0.8650628027816845,0.09289011551945903
0.0,0.3,alias_collapsed,mask_only,0.8771176099292859,0.7913931864353805,0.1431198015780941
0.0,0.3,alias_collapsed,values_only,0.8631169958196594,0.7886516447882481,0.15086461125694392
0.0,0.3,alias_collapsed,values_plus_missingness,0.9446375507891858,0.8656878027816844,0.09284649741372328
0.0,0.6,raw_schema,mask_only,0.97128183065072,0.9057861409513153,0.06604422895866546
0.0,0.6,raw_schema,values_only,0.8413356830203593,0.740373840366122,0.16348367653027712
0.0,0.6,raw_schema,values_plus_missingness,0.9843039645910903,0.9313697877863774,0.04932080266809274
0.0,0.6,alias_collapsed,mask_only,0.9716257809689424,0.9045197317709409,0.06581228808576974
0.0,0.6,alias_collapsed,values_only,0.8413357123401376,0.740373840366122,0.16346497808194152
0.0,0.6,alias_collapsed,values_plus_missingness,0.9843821237898629,0.9320026991787824,0.049074680247578176
0.3,0.0,raw_schema,mask_only,0.9503168771680144,0.836140819376386,0.08308991694655843
0.3,0.0,raw_schema,values_only,0.8678411949920646,0.7707258213715968,0.14812217061271554
0.3,0.0,raw_schema,values_plus_missingness,0.9816827324391386,0.9188541713395064,0.05575588453918644
0.3,0.0,alias_collapsed,mask_only,0.5092514455383654,0.5145635369855808,0.2535267591440034
0.3,0.0,alias_collapsed,values_only,0.8780158983565386,0.7811952764664507,0.14270022231481927
0.3,0.0,alias_collapsed,values_plus_missingness,0.8738586543335952,0.7793677820203497,0.14488909880211562
0.3,0.3,raw_schema,mask_only,0.9848564462627156,0.9301842842400116,0.050887418938269646
0.3,0.3,raw_schema,values_only,0.8426207651481643,0.771921126345275,0.16197512272119508
0.3,0.3,raw_schema,values_plus_missingness,0.9905620374465576,0.9522139171458057,0.03611384778671753
0.3,0.3,alias_collapsed,mask_only,0.8685237173816895,0.7965441545039068,0.14595771602339608
0.3,0.3,alias_collapsed,values_only,0.8481851245761464,0.7770342768686422,0.1587956182152846
0.3,0.3,alias_collapsed,values_plus_missingness,0.9359830532212886,0.8619961668878078,0.10020293745667874
0.3,0.6,raw_schema,mask_only,0.9942412877012033,0.9695186747929364,0.027619392487829575
